campaign_name_std,adset_name_std,ad_name_std,ad_id,effective_status,created_dt,impressions_std,clicks_std,spend_std,purchase_std,cpp_std,lpv_inc,custom_event_inc,inc_initiate_checkout,inc_purchase,ctr,connect_rate,bounce_rate,cost_per_checkout,cac,performance_score,w_ctr,w_connect_rate,w_bounce_rate,w_cost_per_checkout,w_cac,run_at
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL267_LIDIASANTOSDEZ1_VAR1_NA_BR_VID_FB_Normal_ContentCreator_LIDIASANTOSDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080830670,ACTIVE,2025-12-08 13:30:07-03:00,28779,770,977.08,3.0,325.6933333333333,158.0,57.0,10.0,3.0,0.02675562041766566,0.6502057613168725,0.36075949367088606,97.708,325.6933333333333,7.34,0.2550540131512113,1.6171565415464024,1.2037929328492005,0.8918716770857563,6.032124835367429,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL288_PAMFRISONDEZ1_VAR5_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080840670,ACTIVE,2025-12-08 13:29:59-03:00,429312,3452,10286.36,32.0,321.44875,1611.0,1282.0,341.0,32.0,0.00804077221228384,0.7253489419180549,0.7957790192427064,30.16527859237537,321.44875,8.63,0.2550540131512113,1.6171565415464024,1.2037929328492005,0.8918716770857563,6.032124835367429,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL265_TACIARADEZ1_VAR2_NA_BR_VID_FB_Normal_ContentCreator_TACIARADEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080850670,PAUSED,2025-12-08 13:30:14-03:00,49346,1714,532.79,1.0,532.79,946.0,75.0,23.0,1.0,0.034734324970615654,0.8568840579710145,0.07928118393234672,23.16478260869565,532.79,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL264_TACIARADEZ1_VAR1_NA_BR_VID_FB_Normal_ContentCreator_TACIARADEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080860670,PAUSED,2025-12-08 13:30:03-03:00,322571,18481,7569.47,8.0,946.18375,2585.0,626.0,187.0,8.0,0.057292813055110345,0.5052775605942142,0.24216634429400385,40.47844919786096,946.18375,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL268_LIDIASANTOSDEZ1_VAR2_NA_BR_VID_FB_Normal_ContentCreator_LIDIASANTOSDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080870670,PAUSED,2025-12-08 13:30:14-03:00,19474,838,753.83,1.0,753.83,126.0,50.0,10.0,1.0,0.043031734620519665,0.5806451612903226,0.3968253968253968,75.38300000000001,753.83,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL285_PAMFRISONDEZ1_VAR2_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080880670,PAUSED,2025-12-08 13:30:11-03:00,5403,334,151.9,0.0,inf,68.0,9.0,2.0,0.0,0.06181750879141218,0.4689655172413793,0.1323529411764706,75.95,0.0,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL266_TACIARADEZ1_VAR3_NA_BR_VID_FB_Normal_ContentCreator_TACIARADEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080890670,ACTIVE,2025-12-08 13:30:17-03:00,140443,922,4264.14,9.0,473.79333333333335,451.0,226.0,72.0,9.0,0.006564940936892547,0.6545718432510885,0.5011086474501109,59.22416666666667,473.79333333333335,7.01,0.2550540131512113,1.6171565415464024,1.2037929328492005,0.8918716770857563,6.032124835367429,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL286_PAMFRISONDEZ1_VAR3_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080900670,PAUSED,2025-12-08 13:30:11-03:00,1170,26,50.09,0.0,inf,15.0,3.0,2.0,0.0,0.022222222222222223,0.7894736842105263,0.2,25.045,0.0,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL269_LIDIASANTOSDEZ1_VAR3_NA_BR_VID_FB_Normal_ContentCreator_LIDIASANTOSDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080910670,PAUSED,2025-12-08 13:30:17-03:00,483,22,25.23,0.0,inf,8.0,3.0,0.0,0.0,0.045548654244306416,0.42105263157894735,0.375,0.0,0.0,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL270_LIDIASANTOSDEZ1_VAR4_NA_BR_VID_FB_Normal_ContentCreator_LIDIASANTOSDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080920670,PAUSED,2025-12-08 13:30:03-03:00,770,56,24.23,0.0,inf,5.0,0.0,0.0,0.0,0.07272727272727272,0.5,0.0,0.0,0.0,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL287_PAMFRISONDEZ1_VAR4_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080930670,PAUSED,2025-12-08 13:30:07-03:00,1525,34,57.27,0.0,inf,6.0,5.0,1.0,0.0,0.022295081967213116,0.3157894736842105,0.8333333333333334,57.27,0.0,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL284_PAMFRISONDEZ1_VAR1_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080940670,ACTIVE,2025-12-08 13:29:59-03:00,37403,1436,1612.46,6.0,268.74333333333334,301.0,83.0,27.0,6.0,0.03839264230141967,0.438136826783115,0.2757475083056478,59.720740740740744,268.74333333333334,7.04,0.2550540131512113,1.6171565415464024,1.2037929328492005,0.8918716770857563,6.032124835367429,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,T225_VOY_WL_OWN_NOV25_ANTES-E-DEPOIS-IMG3_V2,120240999253890670,PAUSED,2025-12-08 13:35:03-03:00,9353,61,431.34,0.0,inf,29.0,19.0,7.0,0.0,0.006521971559927296,0.6444444444444445,0.6551724137931034,61.62,0.0,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL135_NATHALIE_VAR1_NA_BR_IMG_FB_Normal_NA_NoActor_In-house_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Anchor,120240999253900670,PAUSED,2025-12-08 13:34:41-03:00,65,0,1.58,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,T221_VOY_WL_OWN_NOV25_ANTES-E-DEPOIS-IMG4_V1,120240999253910670,PAUSED,2025-12-08 13:34:56-03:00,542,4,31.03,0.0,inf,0.0,0.0,0.0,0.0,0.007380073800738007,0.0,0.0,0.0,0.0,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,T232_VOY_WL_OWN_NOV25_ANTES-E-DEPOIS-IMG4_V4,120240999253920670,PAUSED,2025-12-08 13:34:25-03:00,32893,254,798.3,0.0,inf,78.0,85.0,18.0,0.0,0.007722007722007722,0.6610169491525424,1.0897435897435896,44.349999999999994,0.0,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL216_OWN_VAR1_November_BR_VID_FB_Normal_NA_NoActor_In-house_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Anchor,120240999253940670,PAUSED,2025-12-08 13:34:44-03:00,133,5,9.12,0.0,inf,0.0,0.0,0.0,0.0,0.03759398496240601,0.0,0.0,0.0,0.0,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL214_OWN_VAR1_November_BR_VID_FB_Normal_NA_NoActor_In-house_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Anchor,120240999253950670,PAUSED,2025-12-08 13:34:41-03:00,33629,1218,1398.09,1.0,1398.09,331.0,110.0,18.0,1.0,0.036218739778167655,0.6633266533066132,0.3323262839879154,77.67166666666667,1398.09,2.07,0.2550540131512113,1.6171565415464024,1.2037929328492005,0.8918716770857563,6.032124835367429,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL168_NATHALIARAMOS_VAR3_NA_BR_VID_FB_Normal_NA_NoActor_In-house_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Anchor,120240999253960670,PAUSED,2025-12-08 13:34:48-03:00,185849,8455,6000.17,8.0,750.02125,1491.0,749.0,225.0,8.0,0.045493922485458624,0.6986879100281163,0.5023474178403756,26.66742222222222,750.02125,,,,,,,2026-01-02T18-50-50Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,T223_VOY_WL_OWN_NOV25_ANTES-E-DEPOIS-IMG1_V2,120240999253970670,PAUSED,2025-12-08 13:34:30-03:00,384,1,11.87,0.0,inf,0.0,1.0,0.0,0.0,0.0026041666666666665,0.0,0.0,0.0,0.0,,,,,,,2026-01-02T18-50-50Z
